country,year,exec_mil,challenger_type,actor_type,opp_type,trial,deport,prison,execute,pres_commute
Ghana,1958,0,Insiders,Ruling Party,Ruling Party,1,0,0,0,0
Ghana,1958,0,Insiders,Ruling Party,Ruling Party,1,0,0,0,0
Ghana,1958,0,Insiders,Ruling Party,Ruling Party,1,0,0,0,0
Ghana,1958,0,Insiders,Ruling Party,Ruling Party,1,0,0,0,0
Ghana,1958,0,Insiders,Ruling Party,Ruling Party,1,0,0,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,0,1,0,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,0,1,0,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,0,1,0,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,0,1,0,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,0,1,0,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,0,1,0,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,0,1,0,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,0,1,0,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,0,1,0,0,0
Ghana,1958,0,Outsiders,Opposition,Defector,1,0,0,0,0
Ghana,1958,0,Outsiders,Opposition,Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
Ghana,1958,0,Outsiders,Opposition,Non-Defector,1,0,1,0,0
